bus_id,bus,route,stop_no,stop,up_time change,down_time change
wbbus-in-maa-tulsi-1387,MAA TULSI WB67B0888,Bankura -> Silda,8,Ranibandh,up: 10:05 AM -> 10:05 AM,down: 2:55 PM -> -
bussathi-aani-4,AANI WB37D6281,Chittaranjan -> Kandi,16,Kuli,up: 12:45 PM -> -,down: - -> 12:45 PM
bussathi-aani-4,AANI WB37D6281,Chittaranjan -> Kandi,17,Kandi,up: 11:15 AM -> -,down: 12:30 PM -> 12:30 PM
bussathi-ankur-0,ANKUR WB29A4745,Binpur -> Ghatal,9,Khirpai,up: 1:30 PM -> -,down: - -> 1:30 PM
bussathi-ankur-0,ANKUR WB29A4745,Binpur -> Ghatal,12,Ghatal,up: 11:05 AM -> -,down: 12:40 PM -> 12:40 PM
bussathi-anupam-48,ANUPAM WB41J9765,Kharagpur -> Bishnupur,4,Godapiasal,up: 3:20 PM -> -,down: - -> 3:20 PM
bussathi-anupam-48,ANUPAM WB41J9765,Kharagpur -> Bishnupur,5,Salboni,up: 2:55 PM -> -,down: - -> 2:55 PM
bussathi-arman-60,ARMAN WB33D4137,Purulia -> Digha,16,Belda,up: 9:55 AM -> -,down: - -> 9:55 AM
bussathi-ayesha-62,AYESHA WB67B5662,Bankura -> Jhargram,11,Silda,up: 3:20 PM -> -,down: - -> 3:20 PM
bussathi-ayesha-62,AYESHA WB67B5662,Bankura -> Jhargram,14,Jhargram,up: 12:40 PM -> -,down: 2:05 PM -> 2:05 PM
bussathi-azad-hind-70,AZAD HIND WB675445,Durgapur (Station) -> Kashipur,5,Bankura,up: 11:40 AM -> -,down: 5:10 PM -> 5:10 PM
bussathi-azam-76,AZAM WB37C4174,Jangipur -> Asansol,10,Durgapur (Muchipara),up: 2:30 PM -> -,down: - -> 2:30 PM
bussathi-azam-76,AZAM WB37C4174,Jangipur -> Asansol,11,Durgapur (City Center),up: 11:00 AM -> -,down: 2:20 PM -> 2:20 PM
bussathi-azam-76,AZAM WB37C4174,Jangipur -> Asansol,13,Raniganj,up: 11:25 AM -> -,down: 1:55 PM -> 1:55 PM
bussathi-azam-76,AZAM WB37C4174,Jangipur -> Asansol,14,Asansol,up: 11:50 AM -> -,down: 1:20 PM -> 1:20 PM
bussathi-atithi-84,ATITHI WB672909,Medinipur -> Bankura,15,Dhaldanga,up: 11:15 AM -> -,down: - -> 11:15 AM
bussathi-atithi-84,ATITHI WB672909,Medinipur -> Bankura,16,Bankura,up: 10:15 AM -> -,down: 10:50 AM -> 10:50 AM
bussathi-avijan-90,AVIJAN WB33C0266,Tarkeshwar -> Medinipur,13,Keshpur,up: 11:05 AM -> -,down: - -> 11:05 AM
bussathi-avijan-90,AVIJAN WB33C0266,Tarkeshwar -> Medinipur,14,Medinipur,up: 8:45 AM -> -,down: 10:20 AM -> 10:20 AM
bussathi-badsha-106,BADSHA WB490036,Jhargram -> Manbazar,13,Pairachali,up: 10:20 AM -> -,down: - -> 10:20 AM
bussathi-badsha-106,BADSHA WB490036,Jhargram -> Manbazar,14,Manbazar,up: 9:00 AM -> -,down: 10:00 AM -> 10:00 AM
bussathi-balaji-107,BALAJI WB29B5612,Egra -> Howrah,13,Dhulagarh,up: 12:55 PM -> -,down: - -> 12:55 PM
bussathi-balaji-107,BALAJI WB29B5612,Egra -> Howrah,16,Howrah,up: 9:45 AM -> -,down: 11:55 AM -> 11:55 AM
bussathi-banalata-111,BANALATA WB67A5056,Durgapur (Station) -> Bandwan,11,Hatirampur,up: 5:00 PM -> -,down: - -> 5:00 PM
bussathi-banalata-111,BANALATA WB67A5056,Durgapur (Station) -> Bandwan,12,Khatra,up: 11:00 AM -> -,down: 4:40 PM -> 4:40 PM
bussathi-banalata-111,BANALATA WB67A5056,Durgapur (Station) -> Bandwan,13,Ranibandh,up: 11:40 AM -> -,down: 3:40 PM -> 3:40 PM
bussathi-banalata-111,BANALATA WB67A5056,Durgapur (Station) -> Bandwan,17,Bandwan,up: 12:40 PM -> -,down: 2:35 PM -> 2:35 PM
bussathi-baneswar-116,BANESWAR WB33F3150,Kantore -> Kantakhali,14,Jamna,up: 3:00 PM -> -,down: - -> 3:00 PM
bussathi-baneswar-116,BANESWAR WB33F3150,Kantore -> Kantakhali,16,Sabang,up: 2:25 PM -> -,down: - -> 2:25 PM
bussathi-baneswar-116,BANESWAR WB33F3150,Kantore -> Kantakhali,17,Kantakhali,up: 1:50 PM -> -,down: - -> 1:50 PM
bussathi-banki-bihari-0,BANKI BIHARI WB31A6632,Dantan -> Howrah,20,Howrah,up: 8:00 AM -> 8:00 AM,down: 3:10 PM -> -
bussathi-bhagyalaxmi-125,BHAGYALAXMI WB55A4911,Balarampur -> Bankura,9,Jorda,up: 1:00 PM -> -,down: - -> 1:00 PM
bussathi-bhagyalaxmi-125,BHAGYALAXMI WB55A4911,Balarampur -> Bankura,10,Bangla,up: 9:40 AM -> -,down: 12:40 PM -> 12:40 PM
bussathi-bhagyalaxmi-125,BHAGYALAXMI WB55A4911,Balarampur -> Bankura,13,Puabagan,up: 9:55 AM -> -,down: 12:15 PM -> 12:15 PM
bussathi-bhagyalaxmi-125,BHAGYALAXMI WB55A4911,Balarampur -> Bankura,15,Bankura,up: 10:10 AM -> -,down: 11:30 AM -> 11:30 AM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,3,Godapiasal,up: 3:45 PM -> -,down: - -> 3:45 PM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,4,Salboni,up: 3:10 PM -> -,down: - -> 3:10 PM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,5,Chandrakona Road,up: 10:50 AM -> -,down: 2:30 PM -> 2:30 PM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,6,Goaltore,up: 11:30 AM -> -,down: 2:10 PM -> 2:10 PM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,7,Pingboni,up: 11:35 AM -> -,down: 2:05 PM -> 2:05 PM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,8,Ramgarh,up: 11:50 AM -> -,down: 1:45 PM -> 1:45 PM
bussathi-biswarup-148,BISWARUP WB33F2692,Medinipur -> Lalgarh,10,Lalgarh,up: 12:15 PM -> -,down: 1:20 PM -> 1:20 PM
